### k, chi-square, degrees-of-freedom, p-value
1, 124497.13177278, 1, 0.00000000
2, 248995.60283477, 3, 0.00000000
3, 373497.09162907, 7, 0.00000000
4, 498003.80100185, 15, 0.00000000
5, 622524.85571821, 31, 0.00000000
6, 747058.78425889, 63, 0.00000000
7, 871626.40103440, 127, 0.00000000
8, 996258.76215152, 255, 0.00000000
9, 1121022.42775371, 511, 0.00000000
10, 1246020.10917687, 1023, 0.00000000
11, 1371496.44371909, 2047, 0.00000000
12, 1497994.34634708, 4095, 0.00000000
13, 1626515.92985150, 8191, 0.00000000
14, 1759112.98476701, 16383, 0.00000000
15, 1900034.05427549, 32767, 0.00000000
16, 2057279.14746534, 65535, 0.00000000
17, 2248276.78278689, 131071, 0.00000000
18, 2504069.13319671, 262143, 0.00000000
19, 2891048.23770497, 524287, 0.00000000
20, 3540545.02459130, 1048575, 0.00000000
21, 4713183.14754319, 2097151, 0.00000000
22, 7087369.10005216, 4194303, 0.00000000
23, 11472734.93327396, 8388607, 0.00000000
24, 22460198.99997636, 16777215, 0.00000000
