### k, chi-square, degrees-of-freedom, p-value
1, 124898.64555378, 1, 0.00000000
2, 249797.17626801, 3, 0.00000000
3, 374701.52402385, 7, 0.00000000
4, 499610.91917374, 15, 0.00000000
5, 624531.11220528, 31, 0.00000000
6, 749462.83978592, 63, 0.00000000
7, 874457.95110195, 127, 0.00000000
8, 999496.31299863, 255, 0.00000000
9, 1124654.20705683, 511, 0.00000000
10, 1250049.37992304, 1023, 0.00000000
11, 1375954.99931199, 2047, 0.00000000
12, 1502883.68706199, 4095, 0.00000000
13, 1631853.75755249, 8191, 0.00000000
14, 1764808.12583205, 16383, 0.00000000
15, 1905933.17153100, 32767, 0.00000000
16, 2063411.48745506, 65535, 0.00000000
17, 2254730.15983607, 131071, 0.00000000
18, 2510728.01434422, 262143, 0.00000000
19, 2897956.16393443, 524287, 0.00000000
20, 3547752.45082064, 1048575, 0.00000000
21, 4723913.90164134, 2097151, 0.00000000
22, 7106128.63338611, 4194303, 0.00000000
23, 11503928.53327655, 8388607, 0.00000000
24, 22520051.57140278, 16777215, 0.00000000
