### k, chi-square, degrees-of-freedom, p-value
1, 0.34382778, 1, 0.55762804
2, 0.78827099, 3, 0.85227035
3, 1.86211962, 7, 0.96707594
4, 4.66340996, 15, 0.99461296
5, 14.68539867, 31, 0.99425309
6, 51.21921111, 63, 0.85604938
7, 103.77312977, 127, 0.93506162
8, 204.94730389, 255, 0.99062878
9, 438.80169121, 511, 0.99069831
10, 912.86555092, 1023, 0.99401920
11, 1903.56316101, 2047, 0.98886930
12, 3829.36167557, 4095, 0.99862261
13, 7761.16461854, 8191, 0.99967953
14, 15990.90156170, 16383, 0.98536979
15, 32398.37788019, 32767, 0.92545890
16, 65380.87916027, 65535, 0.66428941
17, 131181.82581967, 131071, 0.41383201
18, 262129.90368853, 262143, 0.50684811
19, 524063.96721323, 524287, 0.58596810
20, 1047200.22131255, 1048575, 0.82876257
21, 2095448.91804005, 2097151, 0.79701158
22, 4299078.56662588, 4194303, 0.00000000
23, 8563477.46637641, 8388607, 0.00000000
24, 19227531.85720017, 16777215, 0.00000000
