### k, chi-square, degrees-of-freedom, p-value
1, 18580950.90158203, 1, 0.00000000
2, 50005918.90383912, 3, 0.00000000
3, 102765974.83523890, 7, 0.00000000
4, 186223449.03024730, 15, 0.00000000
5, 312308296.00458050, 31, 0.00000000
6, 494281193.28562742, 63, 0.00000000
7, 827437968.85718501, 127, 0.00000000
8, 1375604487.14105868, 255, 0.00000000
9, 2300710378.01405478, 511, 0.00000000
10, 3833022168.26986313, 1023, 0.00000000
11, 6322370081.51218796, 2047, 0.00000000
12, 10277165034.19410324, 4095, 0.00000000
13, 16413093260.74987793, 8191, 0.00000000
14, 25703960651.25025177, 16383, 0.00000000
15, 39548186804.68314362, 32767, 0.00000000
16, 59803478944.87431335, 65535, 0.00000000
17, 89586936470.76387024, 131071, 0.00000000
18, 142937561373.96875000, 262143, 0.00000000
19, 235753204872.75183105, 524287, 0.00000000
20, 391133675480.87072754, 1048575, 0.00000000
21, 639923448445.03662109, 2097151, 0.00000000
22, 1043355688276.76965332, 4194303, 0.00000000
23, 1628590060333.35375977, 8388607, 0.00000000
24, 2632148601595.60009766, 16777215, 0.00000000
