### k, chi-square, degrees-of-freedom, p-value
1, 0.05994453, 1, 0.80658363
2, 0.18013704, 3, 0.98073031
3, 4.82857655, 7, 0.68087359
4, 15.40217355, 15, 0.42285447
5, 29.14508779, 31, 0.56167710
6, 53.65050633, 63, 0.79329291
7, 99.46922947, 127, 0.96624313
8, 218.22836246, 255, 0.95390633
9, 460.33068932, 511, 0.94733810
10, 943.41566733, 1023, 0.96346705
11, 1893.46815149, 2047, 0.99289273
12, 3862.00214407, 4095, 0.99557399
13, 7794.63274450, 8191, 0.99916384
14, 15784.90873016, 16383, 0.99958338
15, 31832.37224782, 32767, 0.99988504
16, 63984.65693805, 65535, 0.99999201
17, 128833.61885246, 131071, 0.99999443
18, 259592.81352460, 262143, 0.99979422
19, 521827.73770503, 524287, 0.99190801
20, 1045498.02459127, 1048575, 0.98326412
21, 2095158.09836800, 2097151, 0.83474313
22, 4300959.83329270, 4194303, 0.00000000
23, 8567104.39971032, 8388607, 0.00000000
24, 19234821.57148759, 16777215, 0.00000000
