### k, chi-square, degrees-of-freedom, p-value
1, 0.09010013, 1, 0.76404990
2, 1.06126869, 3, 0.78643123
3, 3.08327519, 7, 0.87719317
4, 15.21561628, 15, 0.43600040
5, 33.51949438, 31, 0.34607638
6, 67.71204836, 63, 0.31959684
7, 130.65425465, 127, 0.39401400
8, 254.06687013, 255, 0.50472143
9, 513.75544702, 511, 0.45744058
10, 1035.05644845, 1023, 0.38965150
11, 2074.19248308, 2047, 0.33231602
12, 4149.80008960, 4095, 0.27086024
13, 8302.12122376, 8191, 0.19228819
14, 16503.67217102, 16383, 0.25184434
15, 32947.14746544, 32767, 0.24039601
16, 65679.50281618, 65535, 0.34432508
17, 131574.35655738, 131071, 0.16276238
18, 262816.21926230, 262143, 0.17621425
19, 526203.86885259, 524287, 0.03071981
20, 1052189.00819778, 1048575, 0.00632996
21, 2102188.62295815, 2097151, 0.00698301
22, 4307042.23329295, 4194303, 0.00000000
23, 8573948.13304386, 8388607, 0.00000000
24, 19239591.57148425, 16777215, 0.00000000
