### k, chi-square, degrees-of-freedom, p-value
1, 1.41120000, 1, 0.23485729
2, 3.12180850, 3, 0.37322332
3, 5.43917934, 7, 0.60652977
4, 10.73742822, 15, 0.77097585
5, 21.94548699, 31, 0.88471739
6, 61.04351502, 63, 0.54638949
7, 127.18538719, 127, 0.47867966
8, 263.37834076, 255, 0.34588352
9, 524.29322517, 511, 0.33247890
10, 1072.76846215, 1023, 0.13618893
11, 2122.27978048, 2047, 0.12043784
12, 4209.52782489, 4095, 0.10360747
13, 8265.60227855, 8191, 0.27883347
14, 16342.32654890, 16383, 0.58753186
15, 32873.43317972, 32767, 0.33800458
16, 65885.06041987, 65535, 0.16676048
17, 132125.89959016, 131071, 0.01988364
18, 264171.92008198, 262143, 0.00258853
19, 526835.51639356, 524287, 0.00646998
20, 1051421.72950931, 1048575, 0.02473905
21, 2101954.22951545, 2097151, 0.00954254
22, 4307692.69996023, 4194303, 0.00000000
23, 8571378.93304492, 8388607, 0.00000000
24, 19228338.71434486, 16777215, 0.00000000
