### k, chi-square, degrees-of-freedom, p-value
1, 0.07870528, 1, 0.77905970
2, 0.90940850, 3, 0.82315675
3, 3.42413984, 7, 0.84319398
4, 16.86515123, 15, 0.32698941
5, 36.47074462, 31, 0.22925983
6, 66.75706988, 63, 0.34922176
7, 114.04399204, 127, 0.78818368
8, 229.25410051, 255, 0.87514722
9, 452.28357713, 511, 0.97069424
10, 978.69713358, 1023, 0.83624870
11, 2035.67362678, 2047, 0.56628393
12, 4186.68754200, 4095, 0.15552379
13, 8415.39285714, 8191, 0.04070047
14, 16777.90181772, 16383, 0.01507931
15, 33136.79672299, 32767, 0.07468736
16, 66012.83512545, 65535, 0.09366788
17, 131510.24795082, 131071, 0.19537593
18, 262526.46926230, 262143, 0.29796560
19, 525505.93442632, 524287, 0.11700424
20, 1050294.31967324, 1048575, 0.11760174
21, 2099618.09836794, 2097151, 0.11419981
22, 4305291.96662625, 4194303, 0.00000000
23, 8568820.79970948, 8388607, 0.00000000
24, 19228090.14291760, 16777215, 0.00000000
